titulo,descripcion,categoria,texto_final
Instagram denies breach after many receive emails asking to reset password,"The social media platform has said there was ""no breach of its systems"" but questions remain.",Technology,instagram denies breach after many receive emails asking to reset password the social media platform has said there was no breach of its systems but questions remain
Ofcom investigates Elon Musk's X over Grok AI sexual deepfakes,The watchdog said it had received reports of the platform's Grok AI chatbot creating undressed images of people.,Technology,ofcom investigates elon musk s x over grok ai sexual deepfakes the watchdog said it had received reports of the platform s grok ai chatbot creating undressed images of people
MP felt violated after AI image of her in bikini,The MP says an AI tool was used to create an image of her in a bikini which was posted online.,Technology,mp felt violated after ai image of her in bikini the mp says an ai tool was used to create an image of her in a bikini which was posted online
Malaysia and Indonesia block Musk's Grok over explicit deepfakes,Sexualised images of real people generated by Grok have circulated on X in recent weeks.,Technology,malaysia and indonesia block musk s grok over explicit deepfakes sexualised images of real people generated by grok have circulated on x in recent weeks
"Google employee made redundant after reporting manager who showed nude of wife, court hears",Victoria Woodall claims she was retaliated against after reporting a Google UK manager who told clients stories about his swinger lifestyle.,Technology,google employee made redundant after reporting manager who showed nude of wife court hears victoria woodall claims she was retaliated against after reporting a google uk manager who told clients stories about his swinger lifestyle
Rose-tinted filter: Why 2016 is taking over social media in 2026,"Fidget spinners, filters and feeds that worked. Why are young people pining to go back a decade?",Technology,rose tinted filter why is taking over social media in fidget spinners filters and feeds that worked why are young people pining to go back a decade
UK regulator urged to use 'banning' powers over X AI deepfakes,It follows an ongoing backlash against the use of X's AI Grok to digitally remove clothing from images.,Technology,uk regulator urged to use banning powers over x ai deepfakes it follows an ongoing backlash against the use of x s ai grok to digitally remove clothing from images
Musk says X outcry is 'excuse for censorship',The UK government is urging the media regulator to use all its powers – up to and including an effective ban – against X.,Technology,musk says x outcry is excuse for censorship the uk government is urging the media regulator to use all its powers up to and including an effective ban against x
What are your chances of beating top tennis stars?,An unusual tennis competition that pits amateurs against professionals in one-point matches is launching at the Australian Open.,Technology,what are your chances of beating top tennis stars an unusual tennis competition that pits amateurs against professionals in one point matches is launching at the australian open
A red pixel in the snow: How AI found a lost climber,Scouring remote areas for missing walkers and climbers can take rescuers weeks and sometimes months. AI can do the job in a matter of hours in some cases – and potentially save lives.,Technology,a red pixel in the snow how ai found a lost climber scouring remote areas for missing walkers and climbers can take rescuers weeks and sometimes months ai can do the job in a matter of hours in some cases and potentially save lives
Excel: The software that's hard to quit,Companies are trying to wean staff off Excel spreadsheets to centralise control of their data.,Technology,excel the software that s hard to quit companies are trying to wean staff off excel spreadsheets to centralise control of their data
UK government accused of dragging its heels on deepfake law over Grok AI,The End Violence Against Women Coalition said it had been a year since the inital law was suggested,Technology,uk government accused of dragging its heels on deepfake law over grok ai the end violence against women coalition said it had been a year since the inital law was suggested
'I felt humiliated and confused by images made by Grok',"Photos of Dr Daisy Dixon, a Cardiff University lecturer, have been sexualised through AI. She spoke to Nuala McGovern about the experience.",Technology,i felt humiliated and confused by images made by grok photos of dr daisy dixon a cardiff university lecturer have been sexualised through ai she spoke to nuala mcgovern about the experience
'I was secretly filmed with smart glasses and then trolled online',,Technology,i was secretly filmed with smart glasses and then trolled online
Are games like GTA 6 becoming too realistic?,The latest in the franchise is the most hyped release of 2026 and looks set to push the boundaries of gaming visuals – but it could prove more disturbing than entertaining.,Technology,are games like gta becoming too realistic the latest in the franchise is the most hyped release of and looks set to push the boundaries of gaming visuals but it could prove more disturbing than entertaining
A simple stargazing ritual to reset stress,"Dark-sky retreats are on the rise, offering nights under dazzling skies to boost calm, clarity, and wonder.",Technology,a simple stargazing ritual to reset stress dark sky retreats are on the rise offering nights under dazzling skies to boost calm clarity and wonder
How AI is posing a threat to democracy in Yorkshire,Councils discuss the challenges as they seek to stop the spread of fake news online.,Technology,how ai is posing a threat to democracy in yorkshire councils discuss the challenges as they seek to stop the spread of fake news online
Will AI receptionist Emma win over GP patients?,"Officials say the AI receptionist answers calls, cuts queues and speeds up patient care.",Technology,will ai receptionist emma win over gp patients officials say the ai receptionist answers calls cuts queues and speeds up patient care
New Scottish Dark Sky Observatory plans submitted,The state of the art facility in Galloway will replace one which burned down more than four years ago.,Technology,new scottish dark sky observatory plans submitted the state of the art facility in galloway will replace one which burned down more than four years ago
AI robots and plastic made from peas - science to watch in 2026,"Why scientists in Cambridge are ""optimistic"" they can improve our lives and the UK economy in 2026.",Technology,ai robots and plastic made from peas science to watch in why scientists in cambridge are optimistic they can improve our lives and the uk economy in
Public art project aims to reduce battery fires,The East London Waste Authority wants to use art to highlight how batteries in bins can cause fires.,Technology,public art project aims to reduce battery fires the east london waste authority wants to use art to highlight how batteries in bins can cause fires
UK government demands Musk's X deals with 'appalling' Grok AI deepfakes,"Grok is being used to digitally remove women's clothing - something victims describe as ""dehumanising"".",Technology,uk government demands musk s x deals with appalling grok ai deepfakes grok is being used to digitally remove women s clothing something victims describe as dehumanising
The mineral riches hiding under Greenland's ice,"The treasures beneath Greenland's icy terrain have been coveted for more than a century. But as Donald Trump becomes the latest to eye this wealth, accessing them remains a challenge.",Technology,the mineral riches hiding under greenland s ice the treasures beneath greenland s icy terrain have been coveted for more than a century but as donald trump becomes the latest to eye this wealth accessing them remains a challenge
Lego unveils tech-filled Smart Bricks - to play experts' unease,"Lego says its new tech-enabled products are its ""most revolutionary innovation"" since it launched its mini-figurines in 1978.",Technology,lego unveils tech filled smart bricks to play experts unease lego says its new tech enabled products are its most revolutionary innovation since it launched its mini figurines in
Nvidia unveils self-driving car tech as it seeks to power more products with AI,The chip giant is looking for ways to move the AI revolution beyond software and into physical products.,Technology,nvidia unveils self driving car tech as it seeks to power more products with ai the chip giant is looking for ways to move the ai revolution beyond software and into physical products
Is AI taking the fun out of fantasy football?,Some fans of FPL and other leagues are turning to chatbots and apps to get a leg up over other players.,Technology,is ai taking the fun out of fantasy football some fans of fpl and other leagues are turning to chatbots and apps to get a leg up over other players
How to help your body detox itself,Your body has plenty of ways to cleanse itself. Here's how to help it along.,Technology,how to help your body detox itself your body has plenty of ways to cleanse itself here s how to help it along
Misleading videos claim to show celebrations inside Venezuela,BBC Verify takes a closer look at videos circulating online claiming to show Venezuelans celebrating the US seizure of Venezuelan president Nicolas Maduro.,Technology,misleading videos claim to show celebrations inside venezuela bbc verify takes a closer look at videos circulating online claiming to show venezuelans celebrating the us seizure of venezuelan president nicolas maduro
Ofcom asks X about reports its Grok AI makes sexualised images of children,Elon Musk's social media platform has warned users not to use Grok to generate illegal content.,Technology,ofcom asks x about reports its grok ai makes sexualised images of children elon musk s social media platform has warned users not to use grok to generate illegal content
Five lifestyle tweaks to live well for longer,"Simple, science-backed changes you can make now to keep yourself healthier in later life.",Technology,five lifestyle tweaks to live well for longer simple science backed changes you can make now to keep yourself healthier in later life
BBC reporter tests AI anti-shoplifting tech,"Some major retailers and independent stores have introduced AI body scans, CCTV or facial recognition equipment to identify crimes like shoplifting.",Technology,bbc reporter tests ai anti shoplifting tech some major retailers and independent stores have introduced ai body scans cctv or facial recognition equipment to identify crimes like shoplifting
Could AI help councils protect against floods?,Northumberland County Council is testing how AI can speed up flood planning decisions.,Technology,could ai help councils protect against floods northumberland county council is testing how ai can speed up flood planning decisions
How I changed my personality in six weeks,"Based on emerging research showing people can shift their core personality traits, Laurie Clarke tried tweaking hers. Here's what happened.",Technology,how i changed my personality in six weeks based on emerging research showing people can shift their core personality traits laurie clarke tried tweaking hers here s what happened
How AI is helping to study tourist impact on seals,"Processing drone data can take hours, but an AI tool is doing the job within a matter a seconds.",Technology,how ai is helping to study tourist impact on seals processing drone data can take hours but an ai tool is doing the job within a matter a seconds
Drones used to carry blood in trial aimed at saving lives,It is hoped the project could lead to drones delivering life-saving help to the scenes of accidents.,Technology,drones used to carry blood in trial aimed at saving lives it is hoped the project could lead to drones delivering life saving help to the scenes of accidents
AI teachers and cybernetics - what could the world look like in 2050?,We asked several experts to predict the technology we'll be using by 2050 - and how it could reshape our lives.,Technology,ai teachers and cybernetics what could the world look like in we asked several experts to predict the technology we ll be using by and how it could reshape our lives
Woman felt 'dehumanised' after Musk's Grok AI used to digitally remove her clothes,The BBC has seen several examples of it undressing women and putting them in sexual situations without their consent.,Technology,woman felt dehumanised after musk s grok ai used to digitally remove her clothes the bbc has seen several examples of it undressing women and putting them in sexual situations without their consent
Is orange juice good for your health?,The habit of drinking a glass of orange juice can have a considerable effect on your health.,Technology,is orange juice good for your health the habit of drinking a glass of orange juice can have a considerable effect on your health
'I swapped my personal trainer for AI - and it's working',Could AI be changing the fitness industry by offering a cheaper alternative to personal trainers?,Technology,i swapped my personal trainer for ai and it s working could ai be changing the fitness industry by offering a cheaper alternative to personal trainers
Why everything from your phone to your PC may get pricier in 2026,The price of Ram - once one of the cheapest computer parts - has more than doubled since October 2025.,Technology,why everything from your phone to your pc may get pricier in the price of ram once one of the cheapest computer parts has more than doubled since october
How the UK defence sector is battling a skills crisis,Attracting younger workers into the defence industry can be challenging.,Technology,how the uk defence sector is battling a skills crisis attracting younger workers into the defence industry can be challenging
Nine science-backed ways to boost your well-being,From channelling your anger to writing lists and singing more often – here are some science-backed tips to boost your wellbeing.,Technology,nine science backed ways to boost your well being from channelling your anger to writing lists and singing more often here are some science backed tips to boost your wellbeing
How to make your glass of champagne taste better,"From the best way to hold your glass while pouring, to choosing the right glass shape and when to drink it – this is how science says you can get the most from your sparkling wine.",Technology,how to make your glass of champagne taste better from the best way to hold your glass while pouring to choosing the right glass shape and when to drink it this is how science says you can get the most from your sparkling wine
A wave paralysed me but AI could help me walk again,"Dan Richards, 37, from Swansea was injured in a freak accident on New Year's Eve in 2023.",Technology,a wave paralysed me but ai could help me walk again dan richards from swansea was injured in a freak accident on new year s eve in
Man uses AI to walk after being paralysed on a New Year's Eve swim,"After a New Year's Eve swim at Langland Bay in Swansea in 2023, Dan Richards' life changed forever.",Technology,man uses ai to walk after being paralysed on a new year s eve swim after a new year s eve swim at langland bay in swansea in dan richards life changed forever
GTA 6 and everything else: What to watch in video games in 2026,Next year could be hugely significant for video games - here are the big things to keep an eye on.,Technology,gta and everything else what to watch in video games in next year could be hugely significant for video games here are the big things to keep an eye on
The viral moments that grabbed India's attention this year,"From a superstar's Met Gala debut to a historic World Cup win, here's a look back at the year India had.",Technology,the viral moments that grabbed india s attention this year from a superstar s met gala debut to a historic world cup win here s a look back at the year india had
Man paralysed by wave says technology could help him walk again,"Dan Richards, 37, from Swansea was injured in a freak accident on New Year's Eve 2023.",Technology,man paralysed by wave says technology could help him walk again dan richards from swansea was injured in a freak accident on new year s eve
Meta buys Chinese-founded AI start-up Manus,The tech giant wants to build into its own AI tools which do complex things with minimal interaction.,Technology,meta buys chinese founded ai start up manus the tech giant wants to build into its own ai tools which do complex things with minimal interaction
Flight to edge of space left me harassed and depressed,"Blue Origin's all-female crew, which included scientist Amanda Nguyen, was launched into space in April.",Technology,flight to edge of space left me harassed and depressed blue origin s all female crew which included scientist amanda nguyen was launched into space in april
"The mysterious whales that are heard, not seen",Beaked whales are rarely spotted. Now scientists are using underwater sounds to help identify these elusive creatures.,Technology,the mysterious whales that are heard not seen beaked whales are rarely spotted now scientists are using underwater sounds to help identify these elusive creatures
China to crack down on AI firms to protect kids,"The draft regulations are aimed to address concerns around chatbots, which have surged in popularity in recent months.",Technology,china to crack down on ai firms to protect kids the draft regulations are aimed to address concerns around chatbots which have surged in popularity in recent months
CEO of Microsoft AI: 'If you're not a little bit afraid... you're not paying attention',CEO of Microsoft AI Mustafa Suleyman reflects on his Today guest edit asking how we make sure this technology works in the interests of humankind.,Technology,ceo of microsoft ai if you re not a little bit afraid you re not paying attention ceo of microsoft ai mustafa suleyman reflects on his today guest edit asking how we make sure this technology works in the interests of humankind
James Bond game 007 First Light delayed to May 2026,Dexter Original Sin actor Patrick Gibson will star as the British spy when the game releases on 27 May.,Technology,james bond game first light delayed to may dexter original sin actor patrick gibson will star as the british spy when the game releases on may
The world's biggest film industry has a new breakout star: AI,"Indian cinema is embracing AI more readily than Hollywood, but its use isn't pleasing everyone.",Technology,the world s biggest film industry has a new breakout star ai indian cinema is embracing ai more readily than hollywood but its use isn t pleasing everyone
Many new UK drone users must take theory test before flying outside,The Civil Aviation Authority reckons up to half a million people in the UK may be impacted by its new requirements.,Technology,many new uk drone users must take theory test before flying outside the civil aviation authority reckons up to half a million people in the uk may be impacted by its new requirements
The planet that shouldn't exist,Mercury has long baffled astronomers because it defies much of what we know about planet formation. A new space mission arriving in 2026 might solve the mystery.,Technology,the planet that shouldn t exist mercury has long baffled astronomers because it defies much of what we know about planet formation a new space mission arriving in might solve the mystery
Ghosts house 'protected' by digital mapping,"West Horsley Place, which is Button House in Ghosts, is being digitally recreated by engineers.",Technology,ghosts house protected by digital mapping west horsley place which is button house in ghosts is being digitally recreated by engineers
Meteor lights up sky over Mount Fuji,The meteor could be seen blazing through the night sky over Japan's Mount Fuji.,Technology,meteor lights up sky over mount fuji the meteor could be seen blazing through the night sky over japan s mount fuji
From a dino superhighway to origins of fire-making: The incredible discoveries in 2025,"From ancient footprints to planet parades, 2025 science amazed us with discoveries on Earth and beyond.",Technology,from a dino superhighway to origins of fire making the incredible discoveries in from ancient footprints to planet parades science amazed us with discoveries on earth and beyond
Both of these influencers are successful - but only one is human,"Some say AI is ruining social media, but others see its potential to democratise who gains fame online.",Technology,both of these influencers are successful but only one is human some say ai is ruining social media but others see its potential to democratise who gains fame online
Is texting behind the wheel of a self-driving Tesla crazy?,Elon Musk says Tesla's automated software will allow its passengers to text in certain conditions.,Technology,is texting behind the wheel of a self driving tesla crazy elon musk says tesla s automated software will allow its passengers to text in certain conditions
Planning a festive swim? Warning not to rely on AI for advice on tides,The Coastguard warns about AI after two people are stranded after being given the wrong tide times.,Technology,planning a festive swim warning not to rely on ai for advice on tides the coastguard warns about ai after two people are stranded after being given the wrong tide times
25 years of the ISS in 25 numbers,"The International Space Station (ISS) is humanity's most expensive object and has been in orbit for 25 years. Read its fascinating history, told in 25 numbers.",Technology,years of the iss in numbers the international space station iss is humanity s most expensive object and has been in orbit for years read its fascinating history told in numbers
AI app apologises over false crime alerts across US,An AI-powered app called CrimeRadar has apologised for the distress caused by false crime alerts issued to local US communities after a BBC Verify investigation.,Technology,ai app apologises over false crime alerts across us an ai powered app called crimeradar has apologised for the distress caused by false crime alerts issued to local us communities after a bbc verify investigation
TikTok removes AI weight loss ads from fake Boots account,The adverts for prescription-only drugs showed healthcare professionals impersonating the British retailer.,Technology,tiktok removes ai weight loss ads from fake boots account the adverts for prescription only drugs showed healthcare professionals impersonating the british retailer
Waymo robotaxis stop in the streets during San Francisco power outage,"Waymo initially paused all service in the Bay Area after the widespread outage started, but has now resumed operations.",Technology,waymo robotaxis stop in the streets during san francisco power outage waymo initially paused all service in the bay area after the widespread outage started but has now resumed operations
Uber and Lyft announce plans to trial Chinese robotaxis in UK in 2026,Baidu's Apollo Go robotaxis have already accrued millions of driverless rides in cities worldwide.,Technology,uber and lyft announce plans to trial chinese robotaxis in uk in baidu s apollo go robotaxis have already accrued millions of driverless rides in cities worldwide
The centuries-old origins of the witch's hat,,Art,the centuries old origins of the witch s hat
How a Klimt became the most expensive modern artwork,,Art,how a klimt became the most expensive modern artwork
Is this 1768 painting the real birth of modern art?,,Art,is this painting the real birth of modern art
The clues hidden in a true-crime masterpiece,,Art,the clues hidden in a true crime masterpiece
ENTERTAINMENT NEWS,,Culture,entertainment news
How to watch the Golden Globe-nominated films,,Culture,how to watch the golden globe nominated films
Chalamet beats DiCaprio to Golden Globes glory,,Culture,chalamet beats dicaprio to golden globes glory
EastEnders actor Derek Martin dies aged 92,,Culture,eastenders actor derek martin dies aged
Winners and Sinners: What to expect from the Golden Globes,,Culture,winners and sinners what to expect from the golden globes
